TGD data from file :ws/champ_2003_297_307/UKF/inputs/brdc/brdc3020.03n

The data covers  1 days

Year   month    day
2003   10       29 

iPRN    TGD 

 1     -3.259629011150e-09
 2     -1.862645149230e-09
 3     -4.190951585770e-09
 4     -6.053596735000e-09
 5     -4.190951585770e-09
 6     -5.122274160390e-09
 7     -1.862645149230e-09
 8     -4.190951585770e-09
 9     -5.587935447690e-09
10     -2.328306436540e-09
11     -1.164153218270e-08
13     -1.117587089540e-08
14     -1.024454832080e-08
15     -2.328306436540e-09
16     -9.313225746160e-09
17     -1.396983861920e-09
18     -1.024454832080e-08
20     -6.984919309620e-09
21     -1.210719347000e-08
23     -2.793967723850e-09
24     -1.396983861920e-09
25     -7.450580596920e-09
26     -6.519258022310e-09
27     -4.190951585770e-09
28     -1.024454832080e-08
29     -6.984919309620e-09
30     -8.381903171540e-09
31     -6.053596735000e-09
